"VideoAnalysis: Time (s)" ;"VideoAnalysis: X (cm)" ;"VideoAnalysis: Y (cm)" ;"VideoAnalysis: X Velocity (cm/s)" ;"VideoAnalysis: Y Velocity (cm/s)" ;"VideoAnalysis 2: Time (s)" ;"VideoAnalysis 2: X (cm)" ;"VideoAnalysis 2: Y (cm)" ;"VideoAnalysis 2: X Velocity (cm/s)" ;"VideoAnalysis 2: Y Velocity (cm/s)" ;"VideoAnalysis 3: Time (s)" ;"VideoAnalysis 3: X (cm)" ;"VideoAnalysis 3: Y (cm)" ;"VideoAnalysis 3: X Velocity (cm/s)" ;"VideoAnalysis 3: Y Velocity (cm/s)" ;"VideoAnalysis 4: Time (s)" ;"VideoAnalysis 4: X (cm)" ;"VideoAnalysis 4: Y (cm)" ;"VideoAnalysis 4: X Velocity (cm/s)" ;"VideoAnalysis 4: Y Velocity (cm/s)" ;"VideoAnalysis 5: Time (s)" ;"VideoAnalysis 5: X (cm)" ;"VideoAnalysis 5: Y (cm)" ;"VideoAnalysis 5: X Velocity (cm/s)" ;"VideoAnalysis 5: Y Velocity (cm/s)"
12,033                    ;30,4647714552           ;6,23838789012           ;0,0462528301722                    ;0,243934391106                     ;                            ;                          ;                          ;                                     ;                                     ;6,3                         ;32,2346910098             ;17,5155706467             ;-0,524292703744                      ;-0,771520157541                      ;5,233                       ;30,1115836935             ;6,78236441904             ;0,452487463087                       ;0,619678521657                       ;12,9                        ;31,8807257026             ;16,9780438074             ;-0,103921317009                      ;-0,793317399823
12,767                    ;30,5582444532           ;6,47207038525           ;0,0192993115595                    ;0,280198535983                     ;                            ;                          ;                          ;                                     ;                                     ;6,6                         ;32,0045137252             ;17,1933224483             ;-0,524292703744                      ;-0,881594044171                      ;5,467                       ;30,2967929895             ;6,92127139103             ;0,452979594128                       ;0,66861611571                        ;13,267                      ;31,8343983619             ;16,607425082              ;-0,126753091662                      ;-0,816093337228
13,5                      ;30,4647714552           ;6,65901638136           ;0,0215796896169                    ;0,305540142794                     ;                            ;                          ;                          ;                                     ;                                     ;6,9                         ;31,8664073545             ;16,9631451637             ;-0,354702785225                      ;-0,943685836919                      ;5,7                         ;30,3893976375             ;7,10648068702             ;0,235196270103                       ;0,67851961925                        ;13,733                      ;31,7880710212             ;16,2831336974             ;-0,183343577596                      ;-0,788377678147
14,233                    ;30,5582444532           ;6,93943537552           ;0,0533835044152                    ;0,307461781896                     ;                            ;                          ;                          ;                                     ;                                     ;7,2                         ;31,8664073545             ;16,6408969653             ;-0,37246869685                       ;-1,0561126697                        ;6,2                         ;30,4356999615             ;7,384294631               ;0,112031611533                       ;0,772485631588                       ;14,233                      ;31,6490889992             ;15,8661876314             ;-0,217259943696                      ;-0,785177356954
15,2                      ;30,6049809523           ;7,17311787066           ;0,0397540547577                    ;0,321689763779                     ;                            ;                          ;                          ;                                     ;                                     ;7,4                         ;31,6822655268             ;16,4567551376             ;-0,417188966251                      ;-1,2622753093                        ;6,233                       ;30,4356999615             ;7,52320160299             ;0,0292325387228                      ;0,87372454522                        ;14,567                      ;31,6027616586             ;15,6345509281             ;-0,233807451251                      ;-0,821126062518
15,667                    ;30,6049809523           ;7,36006386677           ;0,0346506757713                    ;0,391109959363                     ;                            ;                          ;                          ;                                     ;                                     ;7,7                         ;31,6362300699             ;15,9964005685             ;-0,410492823694                      ;-1,45170007756                       ;6,667                       ;30,3893976375             ;7,80101554697             ;0,176897748984                       ;0,924155848555                       ;15,067                      ;31,4174522959             ;15,2176048621             ;-0,189496777788                      ;-0,939038802869
16,633                    ;30,6517174513           ;7,73395585898           ;0,0260485512685                    ;0,462205772901                     ;                            ;                          ;                          ;                                     ;                                     ;7,9                         ;31,4981236991             ;15,720187827              ;-0,466861483639                      ;-1,61983306607                       ;7,033                       ;30,5746069335             ;8,26403878693             ;0,284131583951                       ;0,964079595935                       ;15,567                      ;31,4174522959             ;14,7543314554             ;-0,154033240828                      ;-1,14134861451
17,133                    ;30,6517174513           ;8,06111135217           ;0,0074975847772                    ;0,521487782559                     ;                            ;                          ;                          ;                                     ;                                     ;8,033                       ;31,4520882422             ;15,4439750855             ;-0,360074430098                      ;-1,73567660019                       ;7,367                       ;30,6672115815             ;8,49555040692             ;0,201906943774                       ;0,936008809549                       ;16,067                      ;31,3711249552             ;14,0130940047             ;-0,294524971433                      ;-1,26885284116
17,6                      ;30,6517174513           ;8,2947938473            ;0,00899290055665                   ;0,476558461143                     ;                            ;                          ;                          ;                                     ;                                     ;8,167                       ;31,4060527853             ;15,167762344              ;-0,29494661984                       ;-1,25298932756                       ;7,633                       ;30,6672115815             ;8,7733643509              ;0,174580487845                       ;1,04810874292                        ;16,4                        ;31,0468335706             ;13,6888026201             ;-0,221341738739                      ;-1,45159000754
18,567                    ;30,6523068484           ;8,68990241292           ;0,0297003016545                    ;0,503691218262                     ;                            ;                          ;                          ;                                     ;                                     ;8,4                         ;31,3600173284             ;14,9836205164             ;-0,298347026072                      ;-1,02442544857                       ;7,967                       ;30,7598162295             ;9,19008526687             ;0,174820615406                       ;0,9740003904                         ;16,567                      ;31,2321429332             ;13,2718565541             ;0,431278875983                       ;-1,98957896562
19,033                    ;30,6523068484           ;8,98177623194           ;0,120794530232                     ;0,596456360987                     ;                            ;                          ;                          ;                                     ;                                     ;8,767                       ;31,2219109577             ;14,661372318              ;-0,283422496044                      ;-1,12858196066                       ;8,567                       ;30,8524208775             ;9,69941083083             ;0,144357471002                       ;0,943307815735                       ;                            ;                          ;                          ;                                     ;
19,367                    ;30,7982437579           ;9,22500441445           ;0,126607804881                     ;0,585962128079                     ;                            ;                          ;                          ;                                     ;                                     ;9,033                       ;31,1298400438             ;14,2470532058             ;-0,142087403639                      ;-1,20729706467                       ;9,167                       ;30,9450255255             ;10,1624340708             ;0,103881370659                       ;1,09682485597                        ;                            ;                          ;                          ;                                     ;
19,833                    ;30,7982437579           ;9,46823259696           ;0,0340896442673                    ;0,53326895                         ;                            ;                          ;                          ;                                     ;                                     ;9,333                       ;31,1758755007             ;13,9708404643             ;-0,0739252311798                     ;-1,30840897885                       ;9,9                         ;30,9913278495             ;11,1810851987             ;0,0521215036987                      ;1,2599254047                         ;                            ;                          ;                          ;                                     ;
20,3                      ;30,7982437579           ;9,71146077948           ;0,017580642032                     ;0,512590962325                     ;                            ;                          ;                          ;                                     ;                                     ;9,533                       ;31,1298400438             ;13,602556809              ;-0,135121478192                      ;-1,58075101574                       ;10,133                      ;30,9913278495             ;11,5515037907             ;-0,0306007340434                     ;1,14066322915                        ;                            ;                          ;                          ;                                     ;
20,933                    ;30,7982437579           ;10,0033345985           ;0,0347279259259                    ;0,540520669831                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;                                     ;10,5                        ;30,9450255255             ;11,8293177347             ;-0,0888056986131                     ;0,947034859456                       ;                            ;                          ;                          ;                                     ;
21,433                    ;30,7982437579           ;10,2952084175           ;0,128957864071                     ;0,626032247467                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;
21,8                      ;30,9441806674           ;10,5870822365           ;0,271147340141                     ;0,719371530111                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;                                     ;                            ;                          ;                          ;                                     ;
