"VideoAnalysis: Time (s)";"VideoAnalysis: X (cm)";"VideoAnalysis: Y (cm)";"VideoAnalysis: X Velocity (cm/s)";"VideoAnalysis: Y Velocity (cm/s)"
0;-0,0100040785011;8,01601187981;0,0199405408728;-0,19268695171
0,633;0,0180012959699;7,88968779903;-0,00220543405976;-0,182437685907
1,267;-0,0218229323582;7,77041504448;-0,00327503319529;-0,166807575041
2,067;0,00151487970094;7,66514497717;0,00890148546753;-0,167028909025
2,533;-0,00086888411415;7,57626136091;0,00892375221263;-0,192720607642
3,333;0,0154176017181;7,4031616908;0,00543614804083;-0,191747325898
4,467;0,0153176364997;7,20434044481;-0,00187724912679;-0,192384011185
5,267;0,0058825464577;7,04762722575;-0,00439679843571;-0,207442656492
6,067;0,00111501882751;6,86985999323;0,00105544574293;-0,226014594804
6,733;0,0127339422479;6,71781433658;0,00140976011725;-0,252055825335
7,367;0,00796641461771;6,54004710406;-0,00311985769728;-0,275979273255
8;0,00319888698752;6,36227987154;-0,00220991148386;-0,292523922235
8,467;-0,0062362030545;6,20556665248;0,0181819083703;-0,289538155141
8,967;0,0428231848789;6,08391013411;-0,000474207283101;-0,290802077733
9,6;-0,00405236967613;5,89680777677;-0,0205362083089;-0,323345889359
9,933;0,00289899133244;5,76581613358;-0,0104593535965;-0,365242909641
10,233;-0,0158712235332;5,65121094144;0,0251435943495;-0,379062750141
10,567;0,0331881644002;5,52955442308;0,0198336048884;-0,403244162046
11,033;0,00736662330755;5,34711962815;-0,000537895086476;-0,453268474119
11,533;0,0212693453247;5,08513634177;0,00144355676868;-0,486324676875
12,167;0,0187856162912;4,79743147953;-0,0123088906482;-0,526293339682
12,5;-0,00236836238955;4,59394267113;-0,0042732723138;-0,626414609205
12,8;0,0232532482663;4,37873497409;-0,0155386418697;-0,699711506991
13,133;-0,014287181465;4,14952458982;-0,0194933324519;-0,783438171241
13,3;0,0019993043672;3,97642491971;0,0206365277572;-0,837819104554
13,6;0,00656690156067;3,75654966026;0,0167872692103;-0,883183128079
13,933;0,00875073493905;3,44779078455;0,0184116287881;-0,979295701777
14,267;0,0249372555529;3,07586986846;0,00562368664198;-1,00307901062
14,567;0,0224535265195;2,78816500621;-0,0289837017739;-0,96379803606
14,9;-0,0221382294388;2,49112501914;0,0120383935872;-0,984119484177
15,2;0,0268211932762;2,17064725479;0,0733511298413;-1,0274721599
15,367;0,0431076791085;1,99754758468;0,0275550564498;-1,03422911585
15,533;0,0383401514783;1,81978035216;-0,0578158223333;-0,991883596325
15,7;0,00785104797381;1,65839957068;-0,0771554406008;-0,901576800973
15,833;0,00546728415871;1,56951595442;-0,00649957807755;-0,895172526771
15,867;0,0148024089824;1,5274079275;0,0126544588385;-1,15218341578
16;0,0100348813522;1,34964069497;0,0185199596423;-1,16547947894
16,033;0,014702443764;1,32858668151;0,0782158755711;-0,919014047838
